ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,key_1267,7236820d-3b34-4339-9093-239d0b8820dc,knowledge,sector-specific,Haskell,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",,
http://data.europa.eu/esco/skill/0238dd62-d407-4a87-ae0c-e08cd7b4ea8d,key_1361,30f38eb9-6a5c-4d73-ab6e-8a030b084f1c,skill/competence,occupation-specific,manage documentation of prior learning assessments ,handle documentation of prior learning assessments ,"Agree upon competencies that are to be assessed. Establish the assessment protocol and develop templates to record the assessment decisions. Establish a communication plan. Distribute relevant assessment documents to authorities, clients, or colleagues according to this plan.",,
http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,key_1375,6ffe62e4-f4a7-4245-a831-ba230caea69c,skill/competence,sector-specific,contribute to quality physiotherapy services,"contribute to quality development in physiotherapy services
contribute to quality development in physiotherapy
undertake physiotherapy service quality activities
make contributions to the development of quality physiotherapy services
contribute to quality physiotherapy services
contribute to physiotherapy service quality development
contribute to safe physiotherapy services
participate in physiotherapy quality development activities
support quality physiotherapy service development
participate in activities for the development of quality physiotherapy services
contribute to cost-effective physiotherapy services","Participate in activities that promote quality, particularly in the acquisition and evaluation of equipment, resources, safe storage and supply management.",,
http://data.europa.eu/esco/skill/0332f526-6dc0-4f09-8a7c-2b9473c50736,key_1404,ce0eea42-1382-4d54-88ea-68a2ac88967c,skill/competence,cross-sector,ensure infrastructure accessibility,"ensure facilities are accessible to people with disabilities
consult on infrastructure accessibility
provide accessible facilities","Consult designers, builders, and people with disabilities to determine how best to provide accessible infrastructure.",,
http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,key_1455,7513e4ba-9898-4a41-83f1-54de263057b8,skill/competence,sector-specific,keep up with digital transformation of industrial processes,"keep up to date with digital transformation of industrial processes
follow digital transformation of industry
follow digital transformation of industrial processes
keep pace with digital transformation of industrial processes
keep up with digital transformation of industrial processes
keep up with digital transformation of industry",Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the company's processes aiming for competitive and profitable business models.,,
http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,key_1471,2cdc58e2-cabf-48b2-bf6d-cb9628966edf,skill/competence,cross-sector,respond to changing situations in health care,"respond to changing healthcare situations
respond to changing health care situations
react to changing situations in health care
respond to changing situations in health care
cope with changing situations in health care
react to changing situations in healthcare
respond to changing situations in health-care
cope with changing situations in healthcare",Cope with pressure and respond appropriately and in time to unexpected and rapidly changing situations in healthcare.,,
http://data.europa.eu/esco/skill/04cda8e8-e06b-4c91-bbb5-27414dc1cf14,key_1480,8560b8dc-5a7f-46f1-88da-404cfdc3b9fd,knowledge,sector-specific,embargo regulations,"embargo regulations
regulating an embargo
embargo legislation
embargo rules
embargo regulation
embargo laws
embargo statutes","The national, international and foreign sanctions and embargo regulations, e.g. Council Regulation (EU) No 961/2010.",,
http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,key_1484,b774245b-a524-4cd3-97a4-164911ce2d53,skill/competence,cross-sector,provide technical documentation,"document the product life cycle
prepare technical documentation
provide technical documentation","Prepare documentation for existing and upcoming products or services, describing their functionality and composition in such a way that it is understandable for a wide audience without technical background and compliant with defined requirements and standards. Keep documentation up to date.",,
http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,key_1493,a5c34614-5da9-492f-96ba-11386f1a2670,skill/competence,cross-sector,design electrical systems,"designing electrical systems
design electrical systems
electrical system drawing
electrical systems designing
draw electrical systems
electrical systems drawing
electrical system designing
drawing electrical systems","Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details.",,
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,key_1541,4d8720c6-f30b-4ea3-bcee-9069a0319497,skill/competence,cross-sector,operate crosscut saw,"operate crosscut saw
activate crosscut saw
control crosscut saw
run crosscut saw
use crosscut saw
operating crosscut saw
operate crosscut saws
handle crosscut saw",Use a blade saw to manually cut wood across the wood grain. Crosscut saws may have small teeth close together for fine work like woodworking or large for course work like log bucking. They can be a hand tool or power tool.,,
